course,grade,citz,satv,satm,acten,actma,actr,actsc,actc,hsgpa,hspercen,acadrate,reclevel,place1,place2,placetot
M121,B+,INT,,,,,,,,4,0.871720117,3,2,5,4,9
M151,W,INT,450,590,,,,,,3.25,,3,5,,,
M151,W,INT,,,,,,,,3.52,0.88,3,2,7,3,10
M131,A-,INT,,,,,,,,3.93,0.98,3,5,12,7,19
M131,B,INT,,,,,,,,4,0.98,3,4,11,5,16
M151,C,INT,480,690,,,,,,,,,5,12,9,21
M151,A,INT,510,760,,,,,,,,,5,12,6,18
M151,A-,INT,,,,,,,,3.78,0.99,2,5,14,5,19
M151,A,INT,,,,,,,,3.85,0.94,2,5,12,5,17
M151,B-,INT,540,600,,,,,,3.37,0.68,4,5,8,3,11
M121,C+,INT,630,600,,,,,,,,,2,5,2,7
M151,C,INT,,,,,,,,,,,0,,,
M151,B-,INT,,,,,,,,3.33,,3,5,14,14,28
M151,W,INT,530,770,,,,,,,,,5,12,8,20
M151,B,INT,430,560,,,,,,3.32,,3,1,,,
M151,B-,INT,450,680,,,,,,3.23,,3,4, , ,
M151,A-,INT,610,740,,,,,,3.85,,1,0,,,
M151,A,INT,590,790,,,,,,3.87,,3,5,14,15,29
M121,B-,INT,,,,,,,,,,,0,,,
M121,B-,INT,,,,,,,,2.7,,4,2,7,5,12
M121,A,INT,560,610,,,,,,3.65,,3,2,,,
M121,A,INT,,,,,,,,3.23,,3,0,,,
M121,A,INT,610,520,,,,,,3.05,,3,2, , ,
M121,B,INT,,,,,,,,3.44,,3,2,5,1,6
M121,A,INT,650,590,,,,,,3.88,,2,5,12,9,21
M145,B,INT,500,590,,,,,,3.11,,3,2,5,4,9
M131,A-,INT,530,650,,,,,,3.58,,2,4,10,6,16
M121,C,INT,,,,,,,,1.93,0.14,5,2,,,
M151,A,INT,,,,,,,,,,,0,,,
M151,C-,INT,490,700,,,,,,,,3,5,12,9,21
M151,C-,INT,,,,,,,,,,,0, , ,
M151,C+,INT,630,550,,,,,,3.33,,2,3, , ,
M151,D-,INT,500,620,,,,,,3.26,,3,3, , ,
M145,C-,INT,560,610,,,,,,,,,0, , ,
M145,C,INT,420,600,,,,,,,,,0, , ,
M145,A,INT,410,640,,,,,,,,,0, , ,
M151,C+,USA,,,,,,,,3.09,,4,5,15,12,27
M151,C+,USA,,,,,,,,3.7,,3,2,,,
M151,A,USA,,,,,,,,2.93,,3,3,10,13,23
M151,A-,USA,560,560,,,,,,3.97,,2,4,,,
M131,A-,INT,500,600,,,,,,,,3,2,6,6,12
M145,A,INT,590,740,,,,,,,,,5,,,
M121,A,INT,,,,,,,,,,,2,9,0,9
M145,B-,INT,520,580,,,,,,3.35,,3,4,10,7,17
M151,A,INT,,,,,,,,4,0.96,2,2,6,3,9
M151,W,USA,,,,,,,,3.17,,3,2,2,3,5
M151,B,USA,,,,,,,,3.97,0.98,2,7,,,
M151,C-,USA,,,,,,,,2.5,,4,0,,,
M151,W,USA,,,,,,,,3.09,0.9,3,5,7,5,12
M151,C,USA,730,580,,,,,,3.35,0.8,4,4,15,13,28
M151,B-,USA,,,,,,,,,,,0,,,
M151,B+,USA,,,,,,,,3.94,0.95,2,5,12,8,20
